passenger_id,pclass,sex,age,survival
1,3,1,0,0
2,1,2,38,1
3,3,2,26,1
4,1,2,35,1
5,3,1,35,0
6,3,1,35,0
7,1,1,54,0
8,3,1,2,0
9,3,2,27,1
10,2,2,14,1
11,3,2,4,1
12,1,2,58,1
13,3,1,20,0
14,3,1,39,0
15,3,2,14,0
16,2,2,55,1
17,3,1,2,0
18,2,1,35,1
19,3,2,31,0
20,3,2,35,1
21,2,1,35,0
22,2,1,34,1
23,3,2,15,1
24,1,1,28,1
25,3,2,8,0
26,3,2,38,1
27,3,1,35,0
28,1,1,19,0
29,3,2,35,1
30,3,1,35,0
31,1,1,40,0
32,1,2,35,1
33,3,2,35,1
34,2,1,66,0
35,1,1,28,0
36,1,1,42,0
37,3,1,35,1
38,3,1,21,0
39,3,2,18,0
40,3,2,14,1
41,3,2,40,0
42,2,2,27,0
43,3,1,35,0
44,2,2,3,1
45,3,2,19,1
46,3,1,35,0
47,3,1,35,0
48,3,2,35,1
49,3,1,35,0
50,3,2,18,0
51,3,1,7,0
52,3,1,21,0
53,1,2,49,1
54,2,2,29,1
55,1,1,65,0
56,1,1,35,1
57,2,2,21,1
58,3,1,28.5,0
59,2,2,5,1
60,3,1,11,0
61,3,1,22,0
62,1,2,38,1
63,1,1,45,0
64,3,1,4,0
65,1,1,35,0
66,3,1,35,1
67,2,2,29,1
68,3,1,19,0
69,3,2,17,1
70,3,1,26,0
71,2,1,32,0
72,3,2,16,0
73,2,1,21,0
74,3,1,26,0
75,3,1,32,1
76,3,1,25,0
77,3,1,35,0
78,3,1,35,0
79,2,1,0.83,1
80,3,2,30,1
81,3,1,22,0
82,3,1,29,1
83,3,2,35,1
84,1,1,28,0
85,2,2,17,1
86,3,2,33,1
87,3,1,16,0
88,3,1,35,0
89,1,2,23,1
90,3,1,24,0
91,3,1,29,0
92,3,1,20,0
93,1,1,46,0
94,3,1,26,0
95,3,1,59,0
96,3,1,35,0
97,1,1,71,0
98,1,1,23,1
99,2,2,34,1
100,2,1,34,0
101,3,2,28,0
102,3,1,35,0
103,1,1,21,0
104,3,1,33,0
105,3,1,37,0
106,3,1,28,0
107,3,2,21,1
108,3,1,35,1
109,3,1,38,0
110,3,2,35,1
111,1,1,47,0
112,3,2,14.5,0
113,3,1,22,0
114,3,2,20,0
115,3,2,17,0
116,3,1,21,0
117,3,1,70.5,0
118,2,1,29,0
119,1,1,24,0
120,3,2,2,0
121,2,1,21,0
122,3,1,35,0
123,2,1,32.5,0
124,2,2,32.5,1
125,1,1,54,0
126,3,1,12,1
127,3,1,35,0
128,3,1,24,1
129,3,2,35,1
130,3,1,45,0
131,3,1,33,0
132,3,1,20,0
133,3,2,47,0
134,2,2,29,1
135,2,1,25,0
136,2,1,23,0
137,1,2,19,1
138,1,1,37,0
139,3,1,16,0
140,1,1,24,0
141,3,2,35,0
142,3,2,22,1
143,3,2,24,1
144,3,1,19,0
145,2,1,18,0
146,2,1,19,0
147,3,1,27,1
148,3,2,9,0
149,2,1,36.5,0
150,2,1,42,0
151,2,1,51,0
152,1,2,22,1
153,3,1,55.5,0
154,3,1,40.5,0
155,3,1,35,0
156,1,1,51,0
157,3,2,16,1
158,3,1,30,0
159,3,1,35,0
160,3,1,35,0
161,3,1,44,0
162,2,2,40,1
163,3,1,26,0
164,3,1,17,0
165,3,1,1,0
166,3,1,9,1
167,1,2,35,1
168,3,2,45,0
169,1,1,35,0
170,3,1,28,0
171,1,1,61,0
172,3,1,4,0
173,3,2,1,1
174,3,1,21,0
175,1,1,56,0
176,3,1,18,0
177,3,1,35,0
178,1,2,50,0
179,2,1,30,0
180,3,1,36,0
181,3,2,35,0
182,2,1,35,0
183,3,1,9,0
184,2,1,1,1
185,3,2,4,1
186,1,1,35,0
187,3,2,35,1
188,1,1,45,1
189,3,1,40,0
190,3,1,36,0
191,2,2,32,1
192,2,1,19,0
193,3,2,19,1
194,2,1,3,1
195,1,2,44,1
196,1,2,58,1
197,3,1,35,0
198,3,1,42,0
199,3,2,35,1
200,2,2,24,0
201,3,1,28,0
202,3,1,35,0
203,3,1,34,0
204,3,1,45.5,0
205,3,1,18,1
206,3,2,2,0
207,3,1,32,0
208,3,1,26,1
209,3,2,16,1
210,1,1,40,1
211,3,1,24,0
212,2,2,35,1
213,3,1,22,0
214,2,1,30,0
215,3,1,35,0
216,1,2,31,1
217,3,2,27,1
218,2,1,42,0
219,1,2,32,1
220,2,1,30,0
221,3,1,16,1
222,2,1,27,0
223,3,1,51,0
224,3,1,35,0
225,1,1,38,1
226,3,1,22,0
227,2,1,19,1
228,3,1,20.5,0
229,2,1,18,0
230,3,2,35,0
231,1,2,35,1
232,3,1,29,0
233,2,1,59,0
234,3,2,5,1
235,2,1,24,0
236,3,2,35,0
237,2,1,44,0
238,2,2,8,1
239,2,1,19,0
240,2,1,33,0
241,3,2,35,0
242,3,2,35,1
243,2,1,29,0
244,3,1,22,0
245,3,1,30,0
246,1,1,44,0
247,3,2,25,0
248,2,2,24,1
249,1,1,37,1
250,2,1,54,0
251,3,1,35,0
252,3,2,29,0
253,1,1,62,0
254,3,1,30,0
255,3,2,41,0
256,3,2,29,1
257,1,2,35,1
258,1,2,30,1
259,1,2,35,1
260,2,2,50,1
261,3,1,35,0
262,3,1,3,1
263,1,1,52,0
264,1,1,40,0
265,3,2,35,0
266,2,1,36,0
267,3,1,16,0
268,3,1,25,1
269,1,2,58,1
270,1,2,35,1
271,1,1,35,0
272,3,1,25,1
273,2,2,41,1
274,1,1,37,0
275,3,2,35,1
276,1,2,63,1
277,3,2,45,0
278,2,1,35,0
279,3,1,7,0
280,3,2,35,1
281,3,1,65,0
282,3,1,28,0
283,3,1,16,0
284,3,1,19,1
285,1,1,35,0
286,3,1,33,0
287,3,1,30,1
288,3,1,22,0
289,2,1,42,1
290,3,2,22,1
291,1,2,26,1
